row	family	params	carrier	laws_satisfied
383	linear/Z_m	m=13 a=2 b=11	finite:13	17
384	linear/Z_m	m=13 a=2 b=12	finite:13	100
385	linear/Z_m	m=13 a=3 b=1	finite:13	7
386	linear/Z_m	m=13 a=3 b=2	finite:13	7
387	linear/Z_m	m=13 a=3 b=4	finite:13	24
388	linear/Z_m	m=13 a=3 b=5	finite:13	10
389	linear/Z_m	m=13 a=3 b=6	finite:13	8
390	linear/Z_m	m=13 a=3 b=7	finite:13	7
391	linear/Z_m	m=13 a=3 b=8	finite:13	10
392	linear/Z_m	m=13 a=3 b=9	finite:13	14
393	linear/Z_m	m=13 a=3 b=10	finite:13	17
394	linear/Z_m	m=13 a=3 b=11	finite:13	69
395	linear/Z_m	m=13 a=3 b=12	finite:13	49
396	linear/Z_m	m=13 a=4 b=1	finite:13	6
397	linear/Z_m	m=13 a=4 b=2	finite:13	6
398	linear/Z_m	m=13 a=4 b=3	finite:13	24
399	linear/Z_m	m=13 a=4 b=5	finite:13	12
400	linear/Z_m	m=13 a=4 b=6	finite:13	3
401	linear/Z_m	m=13 a=4 b=8	finite:13	11
402	linear/Z_m	m=13 a=4 b=9	finite:13	17
403	linear/Z_m	m=13 a=4 b=10	finite:13	164
404	linear/Z_m	m=13 a=4 b=11	finite:13	11
405	linear/Z_m	m=13 a=5 b=1	finite:13	13
406	linear/Z_m	m=13 a=5 b=2	finite:13	9
407	linear/Z_m	m=13 a=5 b=3	finite:13	10
408	linear/Z_m	m=13 a=5 b=4	finite:13	12
409	linear/Z_m	m=13 a=5 b=6	finite:13	6
410	linear/Z_m	m=13 a=5 b=7	finite:13	9
411	linear/Z_m	m=13 a=5 b=9	finite:13	74
412	linear/Z_m	m=13 a=5 b=10	finite:13	10
413	linear/Z_m	m=13 a=5 b=11	finite:13	8
414	linear/Z_m	m=13 a=6 b=2	finite:13	14
415	linear/Z_m	m=13 a=6 b=3	finite:13	8
416	linear/Z_m	m=13 a=6 b=4	finite:13	3
417	linear/Z_m	m=13 a=6 b=5	finite:13	6
418	linear/Z_m	m=13 a=6 b=7	finite:13	20
419	linear/Z_m	m=13 a=6 b=8	finite:13	67
420	linear/Z_m	m=13 a=6 b=9	finite:13	6
421	linear/Z_m	m=13 a=6 b=10	finite:13	7
422	linear/Z_m	m=13 a=6 b=11	finite:13	3
423	linear/Z_m	m=13 a=7 b=1	finite:13	4
424	linear/Z_m	m=13 a=7 b=2	finite:13	2
425	linear/Z_m	m=13 a=7 b=3	finite:13	7
426	linear/Z_m	m=13 a=7 b=5	finite:13	9
427	linear/Z_m	m=13 a=7 b=6	finite:13	20
428	linear/Z_m	m=13 a=7 b=7	finite:13	80
429	linear/Z_m	m=13 a=7 b=8	finite:13	10
430	linear/Z_m	m=13 a=7 b=9	finite:13	3
431	linear/Z_m	m=13 a=7 b=10	finite:13	4
432	linear/Z_m	m=13 a=7 b=11	finite:13	13
433	linear/Z_m	m=13 a=8 b=2	finite:13	9
434	linear/Z_m	m=13 a=8 b=3	finite:13	10
435	linear/Z_m	m=13 a=8 b=4	finite:13	11
436	linear/Z_m	m=13 a=8 b=6	finite:13	67
437	linear/Z_m	m=13 a=8 b=7	finite:13	10
438	linear/Z_m	m=13 a=8 b=9	finite:13	8
439	linear/Z_m	m=13 a=8 b=11	finite:13	12
440	linear/Z_m	m=13 a=9 b=2	finite:13	7
441	linear/Z_m	m=13 a=9 b=5	finite:13	74
442	linear/Z_m	m=13 a=9 b=6	finite:13	6
443	linear/Z_m	m=13 a=9 b=7	finite:13	3
444	linear/Z_m	m=13 a=9 b=8	finite:13	8
445	linear/Z_m	m=13 a=9 b=11	finite:13	11
