set	from	to	smallest_witness
unresolved	2473	1663	none
unresolved	2473	1833	none
unresolved	2473	1837	none
unresolved	2473	1839	none
unresolved	2473	1851	none
unresolved	2473	1852	none
unresolved	2473	1860	none
unresolved	2473	1862	none
unresolved	2473	1871	none
unresolved	2473	1872	none
unresolved	2473	1874	none
unresolved	2473	2446	none
unresolved	2473	2452	none
unresolved	2473	2460	none
unresolved	2473	2463	none
unresolved	2473	2477	none
unresolved	2473	2481	none
unresolved	2473	2489	none
unresolved	2473	3458	none
unresolved	2473	3460	none
unresolved	2473	3519	none
unresolved	2473	3520	none
unresolved	2473	3524	none
unresolved	2473	3525	none
unresolved	2473	3527	none
unresolved	2473	4268	none
unresolved	2473	4282	none
unresolved	2473	4314	none
unresolved	2473	4315	none
unresolved	2473	4339	none
unresolved	2473	4357	none
unresolved	2481	1630	none
unresolved	2481	1633	none
unresolved	2481	1656	none
unresolved	2481	1657	none
unresolved	2481	1659	none
unresolved	2481	1660	none
unresolved	2481	1663	none
unresolved	2481	1833	none
unresolved	2481	1837	none
unresolved	2481	1839	none
unresolved	2481	1851	none
unresolved	2481	1852	none
unresolved	2481	1860	none
unresolved	2481	1862	none
unresolved	2481	1871	none
unresolved	2481	1872	none
unresolved	2481	1874	none
unresolved	2481	2443	none
unresolved	2481	2452	none
unresolved	2481	2463	none
unresolved	2481	2467	none
unresolved	2481	2473	none
unresolved	2481	2477	none
unresolved	2481	2489	none
unresolved	2481	3457	none
unresolved	2481	3460	none
unresolved	2481	3520	none
unresolved	2481	3521	none
unresolved	2481	3523	none
unresolved	2481	3524	none
unresolved	2481	3527	none
unresolved	2481	4268	none
unresolved	2481	4282	none
unresolved	2481	4314	none
unresolved	2481	4315	none
unresolved	2481	4339	none
unresolved	2481	4357	none
unresolved	2507	513	11
unresolved	2531	3	none
unresolved	2531	8	none
unresolved	2531	16	13
unresolved	2531	23	none
unresolved	2531	47	none
unresolved	2531	55	13
unresolved	2531	72	13
unresolved	2531	99	none
unresolved	2531	118	13
unresolved	2531	127	13
unresolved	2531	151	none
unresolved	2531	167	13
unresolved	2531	179	13
unresolved	2531	203	none
unresolved	2531	209	13
unresolved	2531	222	13
unresolved	2531	228	13
unresolved	2531	255	none
unresolved	2531	261	13
unresolved	2531	274	13
unresolved	2531	307	none
unresolved	2531	315	13
unresolved	2531	326	none
unresolved	2531	359	none
unresolved	2531	375	none
unresolved	2531	384	13
unresolved	2531	411	none
unresolved	2531	419	13
unresolved	2531	436	13
unresolved	2531	466	13
unresolved	2531	474	13
unresolved	2531	500	13
unresolved	2531	513	13
unresolved	2531	528	13
unresolved	2531	575	13
unresolved	2531	614	none
unresolved	2531	633	13
unresolved	2531	642	13
unresolved	2531	669	13
unresolved	2531	677	13
unresolved	2531	703	13
unresolved	2531	817	none
unresolved	2531	833	13
unresolved	2531	845	13
unresolved	2531	883	13
unresolved	2531	909	13
unresolved	2531	916	13
unresolved	2531	1020	none
unresolved	2531	1026	13
unresolved	2531	1039	13
unresolved	2531	1045	13
unresolved	2531	1075	13
unresolved	2531	1086	13
unresolved	2531	1098	13
unresolved	2531	1122	13
unresolved	2531	1184	13
unresolved	2531	1223	none
unresolved	2531	1229	13
unresolved	2531	1242	13
unresolved	2531	1279	13
unresolved	2531	1313	none
unresolved	2531	1325	13
unresolved	2531	1426	none
unresolved	2531	1434	13
unresolved	2531	1444	13
unresolved	2531	1452	13
unresolved	2531	1482	13
unresolved	2531	1525	13
unresolved	2531	1629	none
unresolved	2531	1647	13
unresolved	2531	1655	13
unresolved	2531	1682	13
unresolved	2531	1691	13
unresolved	2531	1722	13
unresolved	2531	1731	13
unresolved	2531	1764	13
unresolved	2531	1780	13
unresolved	2531	1832	none
unresolved	2531	1840	13
unresolved	2531	1851	13
unresolved	2531	1885	13
unresolved	2531	1898	13
unresolved	2531	1913	13
unresolved	2531	1921	13
unresolved	2531	1934	13
unresolved	2531	1949	13
unresolved	2531	2035	none
unresolved	2531	2054	13
unresolved	2531	2061	13
unresolved	2531	2101	13
unresolved	2531	2125	13
unresolved	2531	2137	13
unresolved	2531	2238	none
unresolved	2531	2254	13
unresolved	2531	2263	13
unresolved	2531	2304	13
unresolved	2531	2327	13
unresolved	2531	2450	13
unresolved	2531	2467	13
unresolved	2531	2497	13
unresolved	2531	2506	13
unresolved	2531	2540	13
unresolved	2531	2644	none
unresolved	2531	2650	13
unresolved	2531	2660	13
unresolved	2531	2699	13
unresolved	2531	2710	13
unresolved	2531	2722	13
unresolved	2531	2737	13
unresolved	2531	2743	13
unresolved	2531	2776	13
unresolved	2531	2847	none
unresolved	2531	2865	13
unresolved	2531	2873	13
unresolved	2531	2903	13
unresolved	2531	2912	13
unresolved	2531	2936	13
unresolved	2531	3050	none
unresolved	2531	3056	13
unresolved	2531	3068	13
unresolved	2531	3079	13
unresolved	2531	3091	13
